"ID";"Title";"Entity";"Opening date";"Priority";"Last update";"Last edit by";"Status";"Type";"Requester - Requester";"Category";"Assigned to - Technician";"Assigned to - Technician group";"Approval - Approver";"Satisfaction survey - Satisfaction";"SLA - SLA Time to own";"Resolution date";"Tasks - Description";"Cost - Total cost";"SLA - SLA Time to resolve";"Time to resolve";"Tasks - Category";"Total duration";"Closing date";"Time to resolve + Progress";"Time to resolve exceeded";"Urgency";"Impact";"Time to own"
"222957";"[Alias] New Alias emails";"Root > Workplace > Loyco";"2024-01-11 11:24:22";"4";"2024-01-24 09:30:01";"frem";"6";"2";"1798";"Office 365 > Exchange > Shared Mailbox";"2019";"ECS_I_Support_Workplace";"";"";"Silver_Emergency-Request";"2024-01-12 09:43:49";"['&#60;p&#62;MAIL\xa0&#60;/p&#62;', '&#60;p&#62;&#60;u&#62;&#60;a href=""mailto:sgdl@loyco.ch""&#62;sgdl@loyco.ch&#60;/a&#62;\xa0 \xa0adresse courrier déjà\xa0utilisé\xa0&#60;/u&#62;&#60;/p&#62;\r\n&#60;p&#62;ajout alias + mail\xa0&#60;/p&#62;\r\n&#60;p&#62;\xa0&#60;/p&#62;']";"";"";"";"";"3600";"2024-01-24 09:30:01";"";"0";"4";"3";"2024-01-11 13:24:22"
"223096";"Jonas Saugy / accès aux boîtes Outlook antidoping";"Root > Workplace > ISU";"2024-01-15 08:31:16";"3";"2024-01-24 09:30:01";"dhne";"6";"2";"969";"User Management > Permissions";"2287";"ECS_I_Support_Workplace";"";"";"";"2024-01-15 08:42:49";"['&#60;p&#62;Droits attribués.&#60;/p&#62;', '&#60;p&#62;Demande traitée sur site.&#60;/p&#62;\r\n&#60;p&#62;vu avec Roxane.&#60;/p&#62;']";"";"";"";"";"1800";"2024-01-24 09:30:01";"";"0";"5";"3";""
"223097";"Installation Ecrans";"Root > Workplace > ISU";"2024-01-15 08:45:18";"3";"2024-01-24 09:30:01";"dhne";"6";"1";"969";"Hardware > Monitor";"";"ECS_I_Support_Workplace";"";"";"";"2024-01-15 08:53:24";"&#60;p&#62;Installation des écrans&#60;/p&#62;";"";"";"";"";"900";"2024-01-24 09:30:01";"";"0";"3";"3";""
"222017";"Demande de création de compte";"Root > Workplace > CCIH > 51.5/7 - Granges";"2023-12-19 11:38:02";"3";"2024-01-23 09:30:01";"dhne";"6";"2";"1367";"User management";"2287";"ECS_I_Support_Workplace";"";"";"";"2024-01-11 15:31:26";"['&#60;p&#62;Informations de connexion envoyées.&#60;/p&#62;', '&#60;p&#62;License à attribuer début février.&#60;/p&#62;', '&#60;p&#62;Mail envoyé.&#60;/p&#62;', ""&#60;p&#62;Hello, j'ai commandé le matériel, il faudra organiser une livraison entre le 8 et le 14 si possible. merci&#60;/p&#62;"", '&#60;p&#62;mail\xa0&#60;/p&#62;', '&#60;p&#62;To be done via script :\xa0&#60;/p&#62;\r\n&#60;p&#62;https://confluence.svc.elca.ch/display/ECSWORKPLACESUPPORT/02.+User+management+-+CCIH&#60;/p&#62;\r\n&#60;p&#62;\xa0&#60;/p&#62;\r\n&#60;p&#62;\xa0&#60;/p&#62;']";"";"";"";"";"4500";"2024-01-23 09:30:01";"";"0";"3";"3";""
"222664";"Re: [GLPI #0222495] Approval - Waiting for approval Nund Departure";"Root > Workplace > Taurus Workplace";"2024-01-08 08:14:58";"3";"2024-01-23 09:30:01";"navw";"6";"1";"1347";"User management";"1597";"ECS_I_Support_Workplace";"['1347', '2144', '2169']";"";"";"2024-01-08 09:12:03";"&#60;p&#62;Checked the access in GLPI and re-adapted the authorizations.&#60;/p&#62;
&#60;p&#62;&#60;a href=""/glpi/front/document.send.php?docid=83350&#38;itemtype=Ticket&#38;items_id=222664"" target=""_blank"" &#62;&#60;img alt=""18371655-b2d8e96f-659badae408157.02722829"" width=""497"" src=""/glpi/front/document.send.php?docid=83350&#38;itemtype=Ticket&#38;items_id=222664"" /&#62;&#60;/a&#62;&#60;/p&#62;";"";"";"";"";"1200";"2024-01-23 09:30:01";"";"0";"3";"3";""
"222708";"Trust ID";"Root > Workplace > Taurus Workplace";"2024-01-08 10:29:06";"3";"2024-01-23 09:30:01";"dhne";"6";"1";"['2078', None]";"User management";"2287";"ECS_I_Support_Workplace";"";"";"Silver_P2";"2024-01-08 14:08:06";"['&#60;p&#62;Mot de passe correct.&#60;/p&#62;', '&#60;p&#62;call\xa0&#60;/p&#62;']";"";"";"";"";"2700";"2024-01-23 09:30:01";"";"0";"3";"3";"2024-01-08 14:29:06"
"222727";"Demande accès auditeurs";"Root > Workplace > Loyco";"2024-01-08 14:05:06";"3";"2024-01-23 09:30:01";"frem";"6";"2";"1931";"User management";"2019";"ECS_I_Support_Workplace";"";"";"Silver_Emergency-Request";"2024-01-11 14:28:15";"['&#60;p&#62;création comptes ad + création compte entreprise + ajout permissions\xa0 x 2&#60;/p&#62;', '&#60;p&#62;achat licences\xa0&#60;/p&#62;']";"";"";"";"";"8100";"2024-01-23 09:30:01";"";"0";"3";"3";"2024-01-08 16:05:06"
"222824";"Installation Hardware pour Xavier Dubois";"Root > Workplace > CCIH > 51.5/7 - Granges";"2023-12-19 11:38:02";"3";"2024-01-23 09:30:01";"dhne";"6";"2";"1367";"User management";"2287";"ECS_I_Support_Workplace";"";"";"Silver_Emergency-Request";"2024-01-11 10:31:58";"['&#60;p&#62;Ticket doublon&#60;/p&#62;\r\n&#60;p&#62;Merci de voir le ticket : 222879&#60;/p&#62;', ""&#60;p&#62;L'identifiant et mot de passe de connexion de l'user sont disponible dans le dossier : C:\\PSTemp&#60;/p&#62;\r\n&#60;p&#62;Nom du fichier (xdu.csv).&#60;/p&#62;\r\n&#60;p&#62;sur le serveur AD Connect&#60;/p&#62;"", '&#60;p&#62;Compte créé.&#60;/p&#62;\r\n&#60;p&#62;La licence sera attribuée début février, voir le ticket :\xa0&#60;/p&#62;\r\n&#60;h3 class=""navigationheader-title strong d-flex align-items-center""&#62;222017&#60;/h3&#62;']";"";"";"";"";"3300";"2024-01-23 09:30:01";"";"0";"3";"3";"2023-12-19 13:38:02"
"222837";"Problème de connexion à GIT pour un client";"Root > Workplace > Loyco";"2024-01-10 08:19:10";"4";"2024-01-23 09:30:01";"frem";"6";"1";"1931";"Apps > WinEUR";"2019";"ECS_I_Support_Workplace";"";"";"";"2024-01-12 09:00:41";"['&#60;p&#62;mail\xa0&#60;/p&#62;', ""&#60;p&#62;modification des accés ajout du groupe dental + j'ai contacté l'user il reviendra vers nous pour nous confirmer le résultat\xa0&#60;/p&#62;"", ""&#60;p&#62;check + mail + call téléphonique&#60;/p&#62;\r\n&#60;p&#62;j'ai demandé a Mme Brown de contacter l'utilisateur et de lui demander de se connecter de sa session\xa0&#60;/p&#62;"", '&#60;p&#62;ajout groupe kineta dans\xa0 les permissions&#60;/p&#62;\r\n&#60;ul type=""disc""&#62;\r\n&#60;li class=""MsoListParagraph""&#62;&#60;span lang=""FR-CH""&#62;Client Predentec\xa0: CJDENT15 à CJDENT23&#60;/span&#62;&#60;/li&#62;\r\n&#60;li class=""MsoListParagraph""&#62;&#60;span lang=""FR-CH""&#62;Client Dentalsolutions\xa0: FABA13 à FABA23&#60;/span&#62;&#60;/li&#62;\r\n&#60;/ul&#62;', '&#60;p&#62;chochstaedter@loyco.ch&#60;/p&#62;\r\n&#60;p&#62;kineta user&#60;/p&#62;', '&#60;p&#62;&#60;span contenteditable=""false"" data-user-mention=""true"" data-user-id=""2019""&#62;@FREITAS Miguel (2019)&#60;/span&#62;\xa0 Please assist &#60;span contenteditable=""false"" data-user-mention=""true"" data-user-id=""2287""&#62;@DAHANE Abdelali (2287)&#60;/span&#62;\xa0and show him how to do it.&#60;/p&#62;']";"";"";"";"";"7200";"2024-01-23 09:30:01";"";"0";"4";"3";""
"222879";"Demande de création de compte pour Xavier Dubois";"Root > Workplace > CCIH > 51.5/7 - Granges";"2023-12-19 11:38:02";"3";"2024-01-23 09:30:01";"dhne";"6";"2";"1367";"User management";"2287";"ECS_I_Support_Workplace";"";"";"Silver_Emergency-Request";"2024-01-11 15:32:05";"['&#60;p&#62;Informations de connexion envoyées.&#60;/p&#62;', '&#60;p&#62;Licence attribuée.&#60;/p&#62;', '&#60;p&#62;Compte créé.\xa0&#60;/p&#62;']";"";"";"";"";"2700";"2024-01-23 09:30:01";"";"0";"3";"3";"2023-12-19 13:38:02"
"222923";"Isabelle Favre";"Root > Workplace > CCIH > 51.0 Siège  - La Chaux-de-Fonds";"2024-01-11 08:17:01";"4";"2024-01-23 09:30:01";"dhne";"6";"1";"1372";"CCIH_Categories > Emails";"2287";"ECS_I_Support_Workplace";"";"";"Silver_P1";"2024-01-11 09:40:15";"&#60;p&#62;Appel + prise en main à distance sur le poste&#60;/p&#62;";"";"";"";"";"2400";"2024-01-23 09:30:01";"";"0";"4";"3";"2024-01-11 10:17:01"
"222942";"Historique disparu dossier boîte Payroll";"Root > Workplace > Loyco";"2024-01-11 10:02:00";"3";"2024-01-23 09:30:01";"frem";"6";"1";"";"Software > Share Drive";"2019";"ECS_I_Support_Workplace";"";"";"";"2024-01-11 16:12:49";"&#60;p&#62;call + dépannage +mail &#60;/p&#62;
&#60;p&#62;les case des ""caches"" des dossier partagées était coché&#60;/p&#62;";"";"";"";"";"1800";"2024-01-23 09:30:01";"";"0";"3";"3";""
"200598";"PB 168 - RE: [Loyco #0000168] New problem Touche du clavier reste bloquée";"Root > Workplace > Loyco";"2023-05-03 11:03:11";"3";"2024-01-22 17:18:00";"lak";"6";"2";"[None, None]";"Company Applications";"";"ECS_I_Support_Workplace";"";"";"";"2023-05-08 15:59:52";"";"";"";"";"";"0";"2023-05-18 10:25:01";"";"0";"3";"3";""
"209257";"RE: [Loyco #0000168] New followup Touche du clavier reste bloquée";"Root > Workplace > Loyco";"2023-07-12 11:14:37";"3";"2024-01-22 17:18:00";"lak";"6";"2";"";"Others";"";"ECS_I_Support_Workplace";"";"";"";"2023-07-12 13:17:10";"['&#60;p&#62;Mail to user&#60;/p&#62;', '&#60;p&#62;linked to pb168&#60;/p&#62;']";"";"";"";"";"900";"2023-07-24 10:25:01";"";"0";"3";"3";""
